"LGA","Density","Installations","Capacity","IRSAD","Median Age - Persons (years)","Population density (persons/km2)","Total born overseas (%)","Bachelor Degree (%)","Completed Year 12 or equivalent (%)"
"Moora (S)",21.2,292,1488,960,40.6,0.7,10.6,7.5,39.4
"Moorabool (S)",23.6,3356,13753,988,39.3,15.5,12.3,9.6,41.2
"Morawa (S)",17.5,79,441,947,39.2,0.2,9.9,8.3,40.4
"Moree Plains (A)",42.9,2619,82960,919,37,0.8,5.2,8,33.1
"Moreland (C)",10.4,6684,27027,1026,34.5,3381.5,33.9,21.6,63.6
"Moreton Bay (R)",41.5,71396,291396,982,37.5,215.2,19.6,10.2,47.7
"Mornington (S)",0.5,4,87,715,26.6,1,3.2,5.7,24.5
"Mornington Peninsula (S)",15.9,14775,62309,1013,45.3,223.1,17.8,12.1,46.3
"Mosman (A)",8.7,566,2574,1165,41.9,3498.1,33.3,31.6,75.8
"Mosman Park (T)",19.5,618,2790,1114,39.3,2108.7,31.9,28.6,69.6
"Mount Alexander (S)",31.7,3145,11830,979,48.4,12.5,11.4,13.8,43.4
"Mount Barker (DC)",39.1,6103,31415,1012,38.8,57,13.9,13,49.3
"Mount Gambier (C)",18.4,2254,11084,902,39,798.4,10.8,7.1,34.2
"Mount Isa (C)",19.4,1600,8818,972,30.8,0.4,16.1,9.4,44.4
"Mount Magnet (S)",11.2,43,224,870,40.8,0,12.4,6.1,24.9
"Mount Marshall (S)",11.4,50,328,1003,41,0.1,9.9,6.8,47
"Mount Remarkable (DC)",38.7,694,3294,965,52.2,0.9,7.2,7,30.2
"Moyne (S)",16.3,1445,7496,998,42.7,3.1,7.2,10.2,38.3
"Mukinbudin (S)",24.4,81,388,998,43.2,0.2,11.2,8,34.9
"Mundaring (S)",34.3,5353,20843,1036,41.7,61,24.2,11.9,45.6
"Murchison (S)",14.1,11,324,869,40,0,8.5,7.6,22.1
"Murray (S)",41.8,3593,12861,947,43.5,10.1,18,5.6,32.9
"Murray Bridge (RC)",35.7,3949,25654,878,40.1,11.8,14.7,5.3,32.2
"Murray River (A)",24.8,1666,11567,969,47.7,1,7,7.9,31.4
"Murrindindi (S)",27.7,2132,9507,973,47.8,3.6,11,9.1,37.4
"Murrumbidgee (A)",25,514,191731,947,40,0.6,6,7.4,30.2
"Murweh (S)",23.9,573,3756,935,38.6,0.1,6.8,8.5,36.6
"Muswellbrook (A)",14.1,1194,6730,917,34.7,4.8,7.9,6,29.6
"Nambucca (A)",30.1,2807,10040,896,50.4,13.1,9.1,7.9,30.2
"Nannup (S)",27.6,241,904,951,52.3,0.4,20.9,9.4,39.2
"Napranum (S)",0.2,1,15,665,24.5,0.5,2,1.4,26.9
"Naracoorte and Lucindale (DC)",26.1,1114,6608,954,40.7,1.9,13.6,8.2,36
"Narembeen (S)",22.7,107,623,997,45.6,0.2,13,8.5,39.7
"Narrabri (A)",48.4,2955,11523,938,39.1,1,4.2,7.7,31.7
"Narrandera (A)",20.8,615,4613,919,43.3,1.4,4.7,6.7,27.4
"Narrogin (S)",21.6,532,2400,947,39.4,3.2,14.2,8.2,36.1
"Narromine (A)",37,1127,16890,927,41.4,1.3,3.6,7.8,31.8
"Nedlands (C)",23,1649,7714,1161,41,1125.4,31.7,33.7,76.9
"Newcastle (C)",15.9,10036,41828,996,36.5,860.5,13.9,16.4,50.5
"Ngaanyatjarraku (S)",2.1,13,131,689,29,0,3.5,3.4,14.3
"Nillumbik (S)",18.2,4125,17743,1093,40.3,148.4,15.6,18.9,59.5
"Noosa (S)",39.5,9986,42646,999,47.8,62,21.6,12.8,49.7
"North Burnett (R)",26.5,1524,6652,908,45.8,0.5,9.3,5.8,30.1
"North Sydney (A)",7.4,742,3553,1159,37,6848.3,37.8,34.6,78.9
"Northam (S)",28.7,1508,18424,930,41,7.9,19.9,6,32.1
"Northampton (S)",19.4,507,2298,937,49.5,0.3,12.3,5.7,32.8
"Northern Areas (DC)",40.5,1013,4700,961,46.7,1.5,6.9,8.2,34.7
"Northern Beaches (A)",13.3,9438,39604,1120,39.9,1044.3,28.8,22.7,64.9
"Northern Grampians (S)",21.6,1325,6476,921,47.7,2,7.4,7.4,33
"Northern Peninsula Area (R)",0.7,22,400,771,21.8,2.8,2.9,5,44.3
"Norwood Payneham St Peters (C)",25.7,4167,21442,1043,39.8,2409.8,30.2,24.2,64.4
"Nungarin (S)",20.2,26,102,944,44.6,0.2,10.9,6.8,36.4
"Oberon (A)",19.4,510,2483,951,44.1,1.5,9,7.1,31.6
"Onkaparinga (C)",39.1,29203,113581,960,39.3,326.9,21.1,9.8,44.3
"Orange (C)",16.7,3172,17918,968,36.6,145,9.4,12.5,41.2
"Orroroo/Carrieton (DC)",43.3,224,1175,977,53,0.3,7.6,8.1,32.7
"Palm Island (S)",30.7,385,1809,673,24.4,35.9,1.9,2.9,24.4
"Parkes (A)",25.5,1748,75789,927,40.2,2.5,5.3,7.3,31.3
"Paroo (S)",31.2,277,1340,906,43.9,0,4.3,4.8,33.1
"Parramatta (C)",13.2,7615,33337,1063,34.5,2796.7,49.5,23.7,68.2
"Penrith (C)",18.2,13607,62287,988,34,498.1,21.6,9.5,43.1
"Peppermint Grove (S)",18.7,121,561,1162,40.1,1599.7,25.9,33.5,71.8
"Perenjori (S)",20.9,55,283,998,40.1,0.1,13,6,39.3
"Perth (C)",18.5,760,5790,1087,31.6,1959.2,54.7,27.6,70.8
"Peterborough (DC)",31.8,349,9642,804,53,0.6,10.7,4,23.2
"Pingelly (S)",27.3,160,670,908,49.2,0.9,13.6,4.4,29.2
"Plantagenet (S)",21.2,537,2270,938,45.9,1,19.2,7.5,37.6
"Playford (C)",30,12004,58231,853,32.2,262.3,21.1,4.9,35.4
"Pormpuraaw (S)",0.4,2,53,731,29.7,0.2,4.3,1.6,21.7
"Port Adelaide Enfield (C)",30.8,16736,77135,940,37.1,1351.4,33.3,13.9,49.8
"Port Augusta (C)",35.5,2406,287428,879,38.3,12,6.9,5.9,27.4
"Port Hedland (T)",3.1,239,1066,1017,31.3,0.8,20.4,8.9,41.4
"Port Lincoln (C)",28.4,1977,9801,925,40,478.2,8.2,7.8,35.1
"Port Macquarie-Hastings (A)",30.9,10592,41341,958,47.8,21.7,11.4,9.8,36.1
"Port Phillip (C)",8,1656,8000,1101,35.9,5245.3,31.4,28.7,71.3
"Port Pirie City and Dists (M)",35,3121,22251,873,43.1,10.1,7.8,5.5,29.4
"Port Stephens (A)",22.6,7745,31158,959,44,82.8,11,8.1,34.2
"Prospect (C)",28.8,2485,11215,1052,37.1,2711.2,26.7,22.7,63.6
"Pyrenees (S)",27.3,1011,4718,937,49.5,2.1,9.3,6.9,29.9
"Quairading (S)",30.7,161,587,929,50,0.5,11.1,5.6,31.4
"Queanbeyan-Palerang Regional (A)",20.7,4884,26913,1057,37.6,10.9,17.2,14.1,54.9
"Queenscliffe (B)",19.2,481,1780,1070,59.3,339.9,10.4,20.7,53.3
"Quilpie (S)",19,87,512,947,41.6,0,6.3,7.6,42
"Randwick (C)",10.5,2694,12313,1096,34.4,4099,40.7,24.7,69.3
"Ravensthorpe (S)",10.4,126,662,979,44,0.2,16.9,7.8,38
"Redland (C)",45,26901,98684,1015,41.1,283.4,22.5,11.2,49.7
"Renmark Paringa (DC)",37.2,1769,14747,906,43.2,10.7,13.5,5.9,30.5
"Richmond (S)",20.9,109,784,959,37.4,0,5.8,6.6,35.3
"Richmond Valley (A)",35.6,3595,15595,885,43.8,7.6,5.7,5.8,26.7
"Robe (DC)",18.4,310,1627,984,49.1,1.3,8.5,9,39
"Rockhampton (R)",24.9,9103,41135,935,35.3,12.4,9.4,8.8,41.2
"Rockingham (C)",38.2,21193,75532,986,34.2,500.9,31.7,8,43.6
"Roxby Downs (M)",11.6,240,1801,1014,30.5,36.7,13,10.3,44.8
"Ryde (C)",11.3,3501,14788,1088,35.6,2996.2,46.9,25.4,71.4
"Salisbury (C)",36.5,20579,89874,908,35.2,878,31,8.4,42.6
"Sandstone (S)",24.4,20,92,935,58.6,0,12.4,4.7,24.4
"Scenic Rim (R)",44.1,7679,32681,968,44,9.7,14.2,8.9,41.1
"Serpentine-Jarrahdale (S)",42.6,5037,23334,1022,32.3,30.6,25.3,8.4,43
"Shark Bay (S)",8,109,733,958,41.6,0,18,10,36.8
"Shellharbour (C)",18.8,5142,22651,958,38.4,477.5,16.7,7.6,34.7
"Shoalhaven (C)",18.8,10566,42989,944,47.3,22.3,12.8,8.4,33.9
"Singleton (A)",22.2,2212,12633,974,35.8,4.8,7.9,7.9,34
"Snowy Monaro Regional (A)",18.1,1975,9176,985,43,1.4,12.8,10.8,43.1
"Snowy Valleys (A)",24.3,1720,8170,934,44.2,1.6,8.4,7.5,30.1
"Somerset (R)",48.2,5247,21811,916,42.1,4.7,12.1,6.3,34.2
"South Burnett (R)",32.4,4839,19405,897,44.5,3.9,9.2,6.6,31.5
"South Gippsland (S)",25.8,4372,19965,965,46.3,8.8,11,9,35.5
"South Perth (C)",18.2,3357,13685,1089,36.7,2214.8,36,25.6,67.9
"Southern Downs (R)",31.8,5550,27039,919,44.5,5,10.4,7.7,36
"Southern Grampians (S)",15,1238,5613,969,45.7,2.4,7.4,9.8,35.9
"Southern Mallee (DC)",28.2,321,1755,968,45.1,0.4,10.8,7.3,33
"Stirling (C)",18.8,18020,70987,1040,36.3,2101.4,37.7,20.8,60.7
"Stonnington (C)",7.9,2216,10367,1120,34.6,4327.4,31.4,32.1,75.5
"Strathbogie (S)",30.6,1828,7925,957,51.6,3.1,8.9,9,35.5
"Strathfield (A)",11.8,809,8450,1063,32.5,3029.4,56.3,25.5,72.2
"Streaky Bay (DC)",25.5,495,2738,968,43.5,0.3,4.9,8,35.9
"Subiaco (C)",19.2,1108,5303,1112,39,3029.1,35.5,31.7,73.8
"Sunshine Coast (R)",43.7,52754,221091,999,42.4,134.4,19.5,12.3,48.5
"Surf Coast (S)",18,3586,15470,1064,41.5,19.6,11.4,19.2,55.2
"Sutherland Shire (A)",13.4,9187,39068,1088,39.6,678.9,18,16.6,55.7
"Swan (C)",36,20924,92825,994,33.6,131,32.8,10.5,48.5
"Swan Hill (RC)",22.2,2208,146422,934,39.8,3.4,11.6,7,32
"Sydney (C)",4.7,1393,11934,1095,32.1,8328.1,47.7,29.4,73.6
"Tablelands (R)",24.5,3155,15538,932,46.9,2.2,12.5,8.6,37.8
"Tammin (S)",18.5,42,196,947,39.1,0.4,11.7,8.8,42.5
"Tamworth Regional (A)",19.2,5610,29539,947,39.1,6.2,6.8,9.3,35.6
"Tatiara (DC)",33.4,1082,5800,966,41.6,1,10,6.8,34.1
"Tea Tree Gully (C)",37,15166,58489,1004,40.4,1041.4,23.8,12.3,48.9
"Temora (A)",20.2,596,3080,943,45.2,2.2,4.7,7.9,28.3
"Tenterfield (A)",26.8,1003,4151,902,51.7,0.9,7.7,7.1,29.8
"The Coorong (DC)",34.1,1069,132518,919,45.3,0.6,8.3,5.1,29.6
"The Hills Shire (A)",21.4,11424,49060,1133,37.8,422,35.1,22.6,66.2
"Three Springs (S)",23.8,75,367,972,39.2,0.2,16.5,8.2,40.7
"Toodyay (S)",40.2,964,3234,977,50.2,2.6,21.4,7.2,36.4
"Toowoomba (R)",26.7,19323,189624,974,37.9,12.7,11.7,11.5,44.7
"Torres (S)",2.2,44,569,933,28.1,4.3,6.6,8.7,44.6
"Torres Strait Island (R)",2.3,56,710,759,24.1,9.7,3.9,2.5,43.1
"Townsville (C)",31.6,25550,422499,976,33.8,51.3,13.7,11.5,49.2
"Towong (S)",34,1074,5226,974,49.8,0.9,8.1,8.1,32.4
"Trayning (S)",17.5,42,167,923,50.8,0.2,11.4,4.1,27.4
"Tumby Bay (DC)",36.2,616,2576,960,49.2,1,5.2,7.1,33.7
"Tweed (A)",39.2,15228,60722,956,46.3,71.7,14.6,9.9,38.2
"Unincorporated NSW",29.6,177,695,1028,40.9,0,8.1,8.9,39.9
"Unincorporated SA",9.6,321,5322,900,42.4,0,9.4,5.8,30
"Unincorporated Vic",23.7,157,641,972,31.6,3.2,17.2,13.7,52.5
"Unley (C)",31.2,4496,23435,1082,40.5,2728.7,24.7,26.5,67.8
"Upper Gascoyne (S)",10.5,16,93,737,26.1,0,7.2,3,23
"Upper Hunter Shire (A)",19.4,1356,8189,958,40.1,1.8,7.5,8.2,33.2
"Upper Lachlan Shire (A)",22.5,992,18222,987,47.3,1.1,6.7,8.5,36
"Uralla (A)",22.4,672,3149,966,45.1,1.9,6.5,10.9,39.6
"Victor Harbor (C)",42.3,4157,15031,933,57.1,39,18.9,8.7,35.6
"Victoria Park (T)",16.5,2577,12854,1037,34.3,2042.8,40,21.5,62.9
